INFO 2024-06-13 13:04:03,221 autoreload 30028 30268 Watching for file changes with StatReloader
DEBUG 2024-06-13 13:04:03,223 autoreload 30028 30268 Waiting for apps ready_event.
DEBUG 2024-06-13 13:04:03,240 autoreload 30028 30268 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-13 13:04:03,265 autoreload 30028 30268 Watching dir C:\Users\Hugo\Documents\GitHub\P4SBonjour\P4SBonjour\bonjour_app\templates with glob **/*.
DEBUG 2024-06-13 13:04:03,266 autoreload 30028 30268 Watching dir C:\Users\Hugo\Documents\GitHub\P4SBonjour\P4SBonjour\accounts\templates with glob **/*.
DEBUG 2024-06-13 13:04:03,266 autoreload 30028 30268 Watching dir C:\Users\Hugo\Documents\GitHub\P4SBonjour\templates with glob **/*.
DEBUG 2024-06-13 13:04:03,266 autoreload 30028 30268 Watching dir C:\Users\Hugo\Documents\GitHub\P4SBonjour\locale with glob **/*.mo.
DEBUG 2024-06-13 13:04:03,266 autoreload 30028 30268 Watching dir C:\Users\Hugo\Documents\GitHub\P4SBonjour\P4SBonjour\accounts\locale with glob **/*.mo.
DEBUG 2024-06-13 13:04:03,266 autoreload 30028 30268 Watching dir C:\Users\Hugo\Documents\GitHub\P4SBonjour\P4SBonjour\bonjour_app\locale with glob **/*.mo.
DEBUG 2024-06-13 13:04:03,321 utils 30028 29472 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-13 13:04:03,325 utils 30028 29472 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-13 13:04:03,555 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\__init__.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,556 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\argparse.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,556 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\timesince.py first seen with mtime 1716872759.4109979
DEBUG 2024-06-13 13:04:03,556 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1716872758.8868651
DEBUG 2024-06-13 13:04:03,556 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\asyncio\proactor_events.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,556 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\ssl.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,557 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\DLLs\unicodedata.pyd first seen with mtime 1707217852.0
DEBUG 2024-06-13 13:04:03,557 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\wsgi.py first seen with mtime 1716872758.8268483
DEBUG 2024-06-13 13:04:03,557 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\copy.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,557 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\difflib.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,557 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1716872755.7181616
DEBUG 2024-06-13 13:04:03,558 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1716872754.9217098
DEBUG 2024-06-13 13:04:03,558 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,558 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\asyncio\events.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,558 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1716872759.0809064
DEBUG 2024-06-13 13:04:03,559 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1716872759.4379878
